วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2020-09-29,1,normal,48777,661334,not available,334944,49943,not available,not available,12.666666666666666,1
2020-09-30,1,normal,52621,687990,not available,344921,50103,not available,not available,0.1333333333333333,2
2020-10-01,1,normal,52822,696766,not available,348615,49787,not available,not available,10.888888888888893,3
2020-10-02,1,normal,58284,752827,not available,375988,56103,not available,not available,34.35555555555556,4
2020-10-03,0,normal,35278,471977,not available,211353,31555,not available,not available,32.71111111111111,5
2020-10-04,0,normal,30711,394542,not available,173550,25698,not available,not available,4.266666666666668,6
2020-10-05,1,normal,52542,661455,not available,331125,50379,not available,not available,1.7555555555555555,0
2020-10-06,1,normal,51430,666040,not available,336807,50863,not available,not available,5.822222222222222,1
2020-10-07,1,normal,51397,691608,not available,336873,50735,not available,not available,0.4,2
2020-10-08,1,normal,52733,679383,not available,332111,50566,not available,not available,19.68888888888889,3
2020-10-09,1,normal,56734,741991,not available,354228,51885,not available,not available,7.822222222222221,4
2020-10-10,0,normal,35021,482242,not available,201305,31445,not available,not available,9.533333333333337,5
2020-10-11,0,normal,28063,376250,not available,152700,22882,not available,not available,0.4888888888888889,6
2020-10-12,1,normal,46382,658348,not available,305237,45845,not available,not available,5.822222222222223,0
2020-10-13,0,วันนวมินทรมหาราช,27030,373246,not available,158661,22294,not available,not available,14.466666666666663,1
2020-10-14,1,normal,52685,687206,not available,349070,51137,not available,not available,0.2444444444444444,2
2020-10-15,1,normal,56161,739049,not available,356819,51994,not available,not available,2.311111111111112,3
2020-10-16,1,normal,58794,704531,not available,386290,53762,not available,not available,60.44444444444444,4
2020-10-17,0,normal,19653,203981,not available,66797,11388,not available,not available,25.666666666666668,5
2020-10-18,0,normal,23697,220012,not available,99998,18039,not available,not available,0.4444444444444444,6
2020-10-19,1,normal,47768,578798,not available,300221,47837,not available,not available,0.2222222222222222,0
2020-10-20,1,normal,48337,596304,not available,315661,47736,not available,not available,0.0888888888888888,1
2020-10-21,1,normal,48547,605986,not available,325621,48581,not available,not available,0.0,2
2020-10-22,1,normal,52123,633771,not available,329472,49485,not available,not available,0.0,3
2020-10-23,0,วันปิยมหาราช,27830,342902,not available,171131,24165,not available,not available,0.0,4
2020-10-24,0,normal,29254,356079,not available,181852,25292,not available,not available,0.0,5
2020-10-25,0,normal,28545,316169,not available,144848,21837,not available,not available,0.0,6
2020-10-26,1,normal,50775,619991,not available,324022,48221,not available,not available,0.0666666666666666,0
2020-10-27,1,normal,50587,629504,not available,321268,47520,not available,not available,0.0,1
2020-10-28,1,normal,49933,642830,not available,328537,47906,not available,not available,0.0,2
